product_id,product_name,price,description,brand,category,quantity,rating,availability,image_url
1,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,477.41,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Browsezoom,clothing,551,1.3,true,https://newyorker.com/commodo/placerat/praesent/blandit.json?ipsum=varius&primis=nulla&in=facilisi&faucibus=cras&orci=non&luctus=velit&et=nec&ultrices=nisi&posuere=vulputate&cubilia=nonummy&curae=maecenas&nulla=tincidunt&dapibus=lacus&dolor=at&vel=velit&est=vivamus&donec=vel&odio=nulla&justo=eget&sollicitudin=eros&ut=elementum&suscipit=pellentesque&a=quisque&feugiat=porta&et=volutpat&eros=erat&vestibulum=quisque&ac=erat&est=eros&lacinia=viverra&nisi=eget&venenatis=congue&tristique=eget&fusce=semper&congue=rutrum&diam=nulla&id=nunc&ornare=purus&imperdiet=phasellus&sapien=in&urna=felis&pretium=donec&nisl=semper&ut=sapien&volutpat=a&sapien=libero&arcu=nam&sed=dui&augue=proin&aliquam=leo&erat=odio&volutpat=porttitor&in=id&congue=consequat&etiam=in&justo=consequat&etiam=ut&pretium=nulla&iaculis=sed&justo=accumsan&in=felis&hac=ut&habitasse=at&platea=dolor&dictumst=quis&etiam=odio&faucibus=consequat&cursus=varius&urna=integer&ut=ac&tellus=leo&nulla=pellentesque&ut=ultrices&erat=mattis&id=odio&mauris=donec&vulputate=vitae&elementum=nisi&nullam=nam
2,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,276.26,Maecenas pulvinar lobortis est.,Riffpedia,electronics,385,1.8,false,https://theglobeandmail.com/lobortis/convallis/tortor/risus/dapibus.json?penatibus=sagittis&et=sapien&magnis=cum&dis=sociis&parturient=natoque&montes=penatibus&nascetur=et&ridiculus=magnis&mus=dis&etiam=parturient&vel=montes&augue=nascetur&vestibulum=ridiculus&rutrum=mus&rutrum=etiam&neque=vel&aenean=augue&auctor=vestibulum&gravida=rutrum&sem=rutrum&praesent=neque&id=aenean&massa=auctor&id=gravida&nisl=sem&venenatis=praesent&lacinia=id
3,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,505.75,Proin risus. Praesent lectus.,Miboo,home,411,1.8,true,http://goo.gl/faucibus/accumsan.jpg?nisl=amet&nunc=justo&nisl=morbi&duis=ut&bibendum=odio&felis=cras&sed=mi&interdum=pede&venenatis=malesuada&turpis=in&enim=imperdiet&blandit=et&mi=commodo&in=vulputate&porttitor=justo&pede=in&justo=blandit&eu=ultrices&massa=enim&donec=lorem&dapibus=ipsum&duis=dolor&at=sit&velit=amet&eu=consectetuer&est=adipiscing&congue=elit&elementum=proin&in=interdum&hac=mauris&habitasse=non&platea=ligula&dictumst=pellentesque&morbi=ultrices&vestibulum=phasellus&velit=id&id=sapien&pretium=in&iaculis=sapien&diam=iaculis&erat=congue&fermentum=vivamus&justo=metus&nec=arcu&condimentum=adipiscing&neque=molestie&sapien=hendrerit&placerat=at&ante=vulputate&nulla=vitae&justo=nisl&aliquam=aenean&quis=lectus&turpis=pellentesque&eget=eget&elit=nunc&sodales=donec&scelerisque=quis&mauris=orci&sit=eget&amet=orci&eros=vehicula&suspendisse=condimentum&accumsan=curabitur&tortor=in&quis=libero&turpis=ut&sed=massa&ante=volutpat&vivamus=convallis&tortor=morbi&duis=odio&mattis=odio&egestas=elementum
4,dolor sit amet consectetuer adipiscing elit proin interdum mauris non,150.46,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Brainverse,sports,566,3.2,true,https://timesonline.co.uk/in/magna/bibendum/imperdiet.html?leo=semper&maecenas=est&pulvinar=quam&lobortis=pharetra&est=magna&phasellus=ac&sit=consequat&amet=metus&erat=sapien&nulla=ut&tempus=nunc&vivamus=vestibulum&in=ante&felis=ipsum&eu=primis&sapien=in&cursus=faucibus&vestibulum=orci&proin=luctus&eu=et&mi=ultrices&nulla=posuere&ac=cubilia&enim=curae&in=mauris&tempor=viverra&turpis=diam&nec=vitae&euismod=quam&scelerisque=suspendisse&quam=potenti&turpis=nullam&adipiscing=porttitor&lorem=lacus&vitae=at&mattis=turpis&nibh=donec&ligula=posuere&nec=metus&sem=vitae&duis=ipsum&aliquam=aliquam&convallis=non&nunc=mauris&proin=morbi&at=non&turpis=lectus&a=aliquam&pede=sit&posuere=amet&nonummy=diam&integer=in&non=magna&velit=bibendum&donec=imperdiet&diam=nullam
5,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,836.07,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Demivee,home,336,3.4,true,https://nydailynews.com/turpis/elementum/ligula/vehicula.jsp?quisque=vitae&erat=quam&eros=suspendisse&viverra=potenti&eget=nullam&congue=porttitor&eget=lacus&semper=at&rutrum=turpis&nulla=donec
6,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,150.99,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Quatz,clothing,655,4.7,true,https://ox.ac.uk/nulla/facilisi/cras/non/velit/nec/nisi.jpg?erat=tincidunt&quisque=lacus&erat=at&eros=velit&viverra=vivamus&eget=vel&congue=nulla&eget=eget&semper=eros&rutrum=elementum&nulla=pellentesque&nunc=quisque&purus=porta&phasellus=volutpat&in=erat&felis=quisque&donec=erat&semper=eros&sapien=viverra&a=eget&libero=congue&nam=eget&dui=semper&proin=rutrum&leo=nulla&odio=nunc&porttitor=purus&id=phasellus&consequat=in&in=felis&consequat=donec&ut=semper&nulla=sapien&sed=a&accumsan=libero&felis=nam&ut=dui&at=proin&dolor=leo&quis=odio&odio=porttitor&consequat=id&varius=consequat&integer=in&ac=consequat&leo=ut&pellentesque=nulla&ultrices=sed&mattis=accumsan&odio=felis&donec=ut&vitae=at&nisi=dolor
7,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,40.97,Fusce posuere felis sed lacus.,Yakidoo,home,906,3.5,true,https://usnews.com/nibh/in.xml?tincidunt=luctus&lacus=et&at=ultrices&velit=posuere&vivamus=cubilia&vel=curae&nulla=duis&eget=faucibus&eros=accumsan&elementum=odio&pellentesque=curabitur&quisque=convallis&porta=duis&volutpat=consequat&erat=dui&quisque=nec&erat=nisi&eros=volutpat&viverra=eleifend&eget=donec&congue=ut&eget=dolor&semper=morbi&rutrum=vel&nulla=lectus&nunc=in&purus=quam&phasellus=fringilla&in=rhoncus&felis=mauris&donec=enim&semper=leo&sapien=rhoncus&a=sed&libero=vestibulum&nam=sit&dui=amet&proin=cursus&leo=id&odio=turpis&porttitor=integer&id=aliquet&consequat=massa&in=id&consequat=lobortis&ut=convallis&nulla=tortor&sed=risus&accumsan=dapibus&felis=augue&ut=vel&at=accumsan&dolor=tellus&quis=nisi&odio=eu&consequat=orci&varius=mauris&integer=lacinia&ac=sapien&leo=quis&pellentesque=libero&ultrices=nullam&mattis=sit&odio=amet&donec=turpis&vitae=elementum&nisi=ligula&nam=vehicula
8,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,685.2,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Twinder,beauty,831,4.6,false,https://yelp.com/pharetra/magna/ac.jsp?vulputate=ante&justo=vestibulum&in=ante&blandit=ipsum&ultrices=primis&enim=in&lorem=faucibus&ipsum=orci&dolor=luctus&sit=et&amet=ultrices&consectetuer=posuere&adipiscing=cubilia&elit=curae&proin=duis&interdum=faucibus&mauris=accumsan&non=odio&ligula=curabitur&pellentesque=convallis&ultrices=duis&phasellus=consequat&id=dui&sapien=nec&in=nisi&sapien=volutpat&iaculis=eleifend&congue=donec&vivamus=ut&metus=dolor&arcu=morbi&adipiscing=vel&molestie=lectus&hendrerit=in&at=quam&vulputate=fringilla&vitae=rhoncus&nisl=mauris&aenean=enim&lectus=leo&pellentesque=rhoncus&eget=sed&nunc=vestibulum&donec=sit&quis=amet&orci=cursus&eget=id&orci=turpis&vehicula=integer&condimentum=aliquet&curabitur=massa&in=id&libero=lobortis&ut=convallis&massa=tortor
9,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,968.98,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Aivee,sports,579,2.5,true,http://stanford.edu/integer/a/nibh/in/quis.jpg?bibendum=tempus&imperdiet=vivamus&nullam=in&orci=felis&pede=eu&venenatis=sapien&non=cursus&sodales=vestibulum&sed=proin&tincidunt=eu&eu=mi&felis=nulla&fusce=ac&posuere=enim&felis=in&sed=tempor&lacus=turpis&morbi=nec&sem=euismod&mauris=scelerisque&laoreet=quam&ut=turpis&rhoncus=adipiscing&aliquet=lorem&pulvinar=vitae&sed=mattis&nisl=nibh&nunc=ligula&rhoncus=nec&dui=sem&vel=duis&sem=aliquam&sed=convallis&sagittis=nunc&nam=proin&congue=at&risus=turpis&semper=a&porta=pede&volutpat=posuere&quam=nonummy&pede=integer&lobortis=non&ligula=velit&sit=donec&amet=diam&eleifend=neque&pede=vestibulum&libero=eget&quis=vulputate&orci=ut&nullam=ultrices&molestie=vel&nibh=augue&in=vestibulum&lectus=ante&pellentesque=ipsum&at=primis&nulla=in&suspendisse=faucibus&potenti=orci&cras=luctus&in=et&purus=ultrices&eu=posuere&magna=cubilia&vulputate=curae&luctus=donec&cum=pharetra&sociis=magna&natoque=vestibulum&penatibus=aliquet&et=ultrices&magnis=erat&dis=tortor&parturient=sollicitudin&montes=mi&nascetur=sit
10,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,507.12,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Shuffledrive,electronics,363,1.6,false,http://nymag.com/lacinia/nisi.js?viverra=accumsan&dapibus=felis&nulla=ut&suscipit=at&ligula=dolor&in=quis&lacus=odio&curabitur=consequat&at=varius&ipsum=integer&ac=ac&tellus=leo&semper=pellentesque&interdum=ultrices&mauris=mattis&ullamcorper=odio&purus=donec&sit=vitae&amet=nisi&nulla=nam&quisque=ultrices&arcu=libero&libero=non&rutrum=mattis&ac=pulvinar&lobortis=nulla&vel=pede&dapibus=ullamcorper&at=augue&diam=a&nam=suscipit&tristique=nulla&tortor=elit
